"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28679-15755","PF","Anthony","Anthony Davis","Davis","54.59605006167763","76","12000","NO@ATL","NO","ATL","","","","",""
"28679-49111","C","Joel","Joel Embiid","Embiid","43.646153846153844","65","10400","ORL@PHI","PHI","ORL","","","","",""
"28679-66115","PG","Ben","Ben Simmons","Simmons","42.18292682926829","82","10200","ORL@PHI","PHI","ORL","","","","",""
"28679-12332","PG","John","John Wall","Wall","41.81707317073171","41","10000","NY@WAS","WAS","NY","","","","",""
"28679-63122","PF","Kristaps","Kristaps Porzingis","Porzingis","39.84791564941406","48","8400","NY@WAS","NY","WAS","O","Knee","","",""
"28679-9663","SG","Jrue","Jrue Holiday","Holiday","37.666666666666664","81","8300","NO@ATL","NO","ATL","","","","",""
"28679-58460","SG","Devin","Devin Booker","Booker","37.17222312644676","54","8200","SAC@PHO","PHO","SAC","GTD","Hand","","",""
"28679-15595","PG","Bradley","Bradley Beal","Beal","36.74819394766566","83","8000","NY@WAS","WAS","NY","","","","",""
"28679-14514","C","Nikola","Nikola Vucevic","Vucevic","36.85087719298246","57","7700","ORL@PHI","ORL","PHI","","","","",""
"28679-41594","PF","Aaron","Aaron Gordon","Gordon","34.12758662782866","58","7300","ORL@PHI","ORL","PHI","","","","",""
"28679-42669","PF","Julius","Julius Randle","Randle","30.16829327839177","82","7300","NO@ATL","NO","ATL","","","","",""
"28679-84673","PF","Deandre","Deandre Ayton","Ayton","0","0","7200","SAC@PHO","PHO","SAC","","","","",""
"28679-23120","SF","TJ","TJ Warren","Warren","31.26307654747596","65","7100","SAC@PHO","PHO","SAC","","","","",""
"28679-66236","PF","John","John Collins","Collins","24.930667317708334","75","7100","NO@ATL","ATL","NO","","","","",""
"28679-14516","C","Enes","Enes Kanter","Kanter","30.85211267605634","71","7000","NY@WAS","NY","WAS","","","","",""
"28679-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","29.10958904109589","73","6900","SAC@PHO","SAC","PHO","","","","",""
"28679-15628","SF","Otto","Otto Porter Jr.","Porter Jr.","30.59610262784091","77","6700","NY@WAS","WAS","NY","","","","",""
"28679-9660","C","Dwight","Dwight Howard","Howard","37.62839385609568","81","6700","NY@WAS","WAS","NY","O","Back","","",""
"28679-19138","PG","Elfrid","Elfrid Payton","Payton","29.560318235367063","63","6700","NO@ATL","NO","ATL","","","","",""
"28679-20491","SF","Robert","Robert Covington","Covington","28.270001220703126","80","6300","ORL@PHI","PHI","ORL","","","","",""
"28679-55056","PF","Dario","Dario Saric","Saric","27.343039210838608","79","6300","ORL@PHI","PHI","ORL","","","","",""
"28679-14522","PF","Nikola","Nikola Mirotic","Mirotic","30.036363636363635","55","6300","NO@ATL","NO","ATL","O","Achilles","","",""
"28679-15846","SF","Tim","Tim Hardaway Jr.","Hardaway Jr.","28.44386050575658","57","6300","NY@WAS","NY","WAS","","","","",""
"28679-23096","SF","Evan","Evan Fournier","Fournier","27.53157980400219","57","6200","ORL@PHI","ORL","PHI","","","","",""
"28679-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","22.15696233435522","79","6100","SAC@PHO","SAC","PHO","O","Knee","","",""
"28679-84671","PG","Trae","Trae Young","Young","0","0","6100","NO@ATL","ATL","NO","","","","",""
"28679-23572","SF","Taurean","Taurean Prince","Prince","25.90602350809488","83","6000","NO@ATL","ATL","NO","","","","",""
"28679-63123","SG","Mario","Mario Hezonja","Hezonja","19.562666015625","75","6000","NY@WAS","NY","WAS","","","","",""
"28679-19781","SG","Kent","Kent Bazemore","Bazemore","26.978461162860576","65","5900","NO@ATL","ATL","NO","","","","",""
"28679-80809","SF","Josh","Josh Jackson","Jackson","23.535064300933442","77","5900","SAC@PHO","PHO","SAC","","","","",""
"28679-23665","SG","Buddy","Buddy Hield","Hield","23.679012345679013","81","5800","SAC@PHO","SAC","PHO","","","","",""
"28679-80805","PG","Markelle","Markelle Fultz","Fultz","18.864286150251115","14","5700","ORL@PHI","PHI","ORL","","","","",""
"28679-80811","SF","Jonathan","Jonathan Isaac","Isaac","16.65925880714699","27","5700","ORL@PHI","ORL","PHI","","","","",""
"28679-9538","SF","Trevor","Trevor Ariza","Ariza","23.467164907882463","67","5500","SAC@PHO","PHO","SAC","","","","",""
"28679-18821","SF","Jonathon","Jonathon Simmons","Simmons","22.917392012001812","69","5300","ORL@PHI","ORL","PHI","","","","",""
"28679-80810","PG","De'Aaron","De'Aaron Fox","Fox","22.651350691511823","74","5200","SAC@PHO","SAC","PHO","","","","",""
"28679-16301","C","Dewayne","Dewayne Dedmon","Dedmon","24.60967820690524","62","5200","NO@ATL","ATL","NO","O","Ankle","","",""
"28679-14511","PF","Markieff","Markieff Morris","Morris","23.28493217572774","73","5100","NY@WAS","WAS","NY","","","","",""
"28679-9655","SG","JJ","JJ Redick","Redick","24.95142822265625","70","5100","ORL@PHI","PHI","ORL","","","","",""
"28679-84674","SF","Kevin","Kevin Knox","Knox","0","0","5100","NY@WAS","NY","WAS","","","","",""
"28679-15814","C","Alex","Alex Len","Len","21.99420254472373","69","5100","NO@ATL","ATL","NO","","","","",""
"28679-58153","SF","Kelly","Kelly Oubre Jr.","Oubre Jr.","22.106172538097994","81","5000","NY@WAS","WAS","NY","","","","",""
"28679-9636","SF","Wilson","Wilson Chandler","Chandler","21.75135102143159","74","4900","ORL@PHI","PHI","ORL","O","Hamstring","","",""
"28679-9579","PF","Zach","Zach Randolph","Randolph","26.506780074814618","59","4800","SAC@PHO","SAC","PHO","","","","",""
"28679-84679","PF","Marvin","Marvin Bagley III","Bagley III","0","0","4800","SAC@PHO","SAC","PHO","","","","",""
"28679-67556","SG","Tyler","Tyler Dorsey","Dorsey","12.651785714285714","56","4800","NO@ATL","ATL","NO","","","","",""
"28679-58134","SF","Justin","Justin Jackson","Jackson","12.814706241383272","68","4700","SAC@PHO","SAC","PHO","","","","",""
"28679-12368","PF","Nemanja","Nemanja Bjelica","Bjelica","15.788060430270523","67","4400","SAC@PHO","SAC","PHO","","","","",""
"28679-70819","PF","Dragan","Dragan Bender","Bender","15.502438428925306","82","4400","SAC@PHO","PHO","SAC","","","","",""
"28679-15592","SG","Austin","Austin Rivers","Rivers","26.524590163934427","61","4300","NY@WAS","WAS","NY","","","","",""
"28679-15996","PG","Jerian","Jerian Grant","Grant","19.762162492081927","74","4200","ORL@PHI","ORL","PHI","","","","",""
"28679-9466","PG","D.J.","D.J. Augustin","Augustin","19.033333333333335","75","4200","ORL@PHI","ORL","PHI","","","","",""
"28679-12443","PG","Jeremy","Jeremy Lin","Lin","21","1","4100","NO@ATL","ATL","NO","","","","",""
"28679-84670","SF","Mikal","Mikal Bridges","Bridges","0","0","4100","SAC@PHO","PHO","SAC","","","","",""
"28679-15843","PG","Trey","Trey Burke","Burke","23.394444783528645","36","4100","NY@WAS","NY","WAS","","","","",""
"28679-84709","C","Mitchell","Mitchell Robinson","Robinson","0","0","4100","NY@WAS","NY","WAS","","","","",""
"28679-84675","PF","Mohamed","Mohamed Bamba","Bamba","0","0","4000","ORL@PHI","ORL","PHI","","","","",""
"28679-9713","PG","Jarrett","Jarrett Jack","Jack","19.664515341481856","62","4000","NO@ATL","NO","ATL","","","","",""
"28679-9731","C","Kosta","Kosta Koufos","Koufos","19.223944005831868","71","3900","SAC@PHO","SAC","PHO","","","","",""
"28679-80819","PF","Harry","Harry Giles III","Giles III","0","0","3900","SAC@PHO","SAC","PHO","","","","",""
"28679-58083","C","Jahlil","Jahlil Okafor","Okafor","12.071428571428571","28","3900","NO@ATL","NO","ATL","GTD","Ankle","","",""
"28679-9772","PF","Ryan","Ryan Anderson","Anderson","18.124241684422348","66","3800","SAC@PHO","PHO","SAC","","","","",""
"28679-63124","PG","Emmanuel","Emmanuel Mudiay","Mudiay","16.990625381469727","64","3800","NY@WAS","NY","WAS","","","","",""
"28679-80813","PG","Frank","Frank Ntilikina","Ntilikina","15.11012596420095","79","3800","NY@WAS","NY","WAS","","","","",""
"28679-9654","SG","Vince","Vince Carter","Carter","13.13965475148168","58","3800","NO@ATL","ATL","NO","","","","",""
"28679-9473","C","Tyson","Tyson Chandler","Chandler","20.67608642578125","46","3700","SAC@PHO","PHO","SAC","","","","",""
"28679-15727","SG","Ben","Ben McLemore","McLemore","13.630356924874443","56","3700","SAC@PHO","SAC","PHO","","","","",""
