"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"29064-15755","PF","Anthony","Anthony Davis","Davis","54.59605006167763","76","12400","NO@HOU","NO","HOU","","","","",""
"29064-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","51.344736199629935","76","12000","MIL@CHA","MIL","CHA","","","","",""
"29064-9644","SG","James","James Harden","Harden","52.73561576947774","73","11700","NO@HOU","HOU","NO","","","","",""
"29064-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","44.107227739081324","83","10900","MIN@SA","MIN","SA","","","","",""
"29064-15557","C","Andre","Andre Drummond","Drummond","45.14556962025316","79","10200","BKN@DET","DET","BKN","","","","",""
"29064-55062","C","Nikola","Nikola Jokic","Jokic","43.71866536458333","75","9900","DEN@LAC","DEN","LAC","","","","",""
"29064-14513","SF","Kawhi","Kawhi Leonard","Leonard","32.54444376627604","9","9600","CLE@TOR","TOR","CLE","","","","",""
"29064-14528","SG","Jimmy","Jimmy Butler","Butler","41.14915336996822","59","9400","MIN@SA","MIN","SA","","","","",""
"29064-9623","PG","Chris","Chris Paul","Paul","40.44138099407328","58","9100","NO@HOU","HOU","NO","","","","",""
"29064-15684","SG","Victor","Victor Oladipo","Oladipo","42.00526187294408","76","8800","MEM@IND","IND","MEM","","","","",""
"29064-14507","PG","Kemba","Kemba Walker","Walker","35.966667269483025","81","8300","MIL@CHA","CHA","MIL","","","","",""
"29064-9663","SG","Jrue","Jrue Holiday","Holiday","37.666666666666664","81","8300","NO@HOU","NO","HOU","","","","",""
"29064-9714","SG","DeMar","DeMar DeRozan","DeRozan","37.34197470582562","81","8300","MIN@SA","SA","MIN","","","","",""
"29064-9874","PF","Kevin","Kevin Love","Love","33.2152534096928","59","8300","CLE@TOR","CLE","TOR","","","","",""
"29064-58460","SG","Devin","Devin Booker","Booker","37.17222312644676","54","8200","DAL@PHO","PHO","DAL","","","","",""
"29064-40203","C","Rudy","Rudy Gobert","Gobert","35.878570556640625","56","8200","UTA@SAC","UTA","SAC","","","","",""
"29064-9560","PF","Blake","Blake Griffin","Griffin","39.09655340786638","58","8200","BKN@DET","DET","BKN","","","","",""
"29064-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","39.655263800370065","76","8200","MIN@SA","SA","MIN","","","","",""
"29064-9535","PG","Kyle","Kyle Lowry","Lowry","34.92658166040348","79","8100","CLE@TOR","TOR","CLE","","","","",""
"29064-9581","C","Marc","Marc Gasol","Gasol","36.94383427868151","73","8100","MEM@IND","MEM","IND","","","","",""
"29064-9575","PG","Mike","Mike Conley","Conley","28.15833282470703","12","8000","MEM@IND","MEM","IND","","","","",""
"29064-66113","SG","Donovan","Donovan Mitchell","Mitchell","33.29500122070313","80","8000","UTA@SAC","UTA","SAC","","","","",""
"29064-16261","SG","Khris","Khris Middleton","Middleton","35.202440215320124","82","7900","MIL@CHA","MIL","CHA","","","","",""
"29064-55059","C","Clint","Clint Capela","Capela","34.762160842483105","74","7800","NO@HOU","HOU","NO","","","","",""
"29064-14514","C","Nikola","Nikola Vucevic","Vucevic","36.85087719298246","57","7700","MIA@ORL","ORL","MIA","","","","",""
