"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28835-14523","PG","Reggie","Reggie Jackson","Jackson","25.711111111111112","45","6100","DET@SA","DET","SA","O","Ankle","","",""
"28835-84671","PG","Trae","Trae Young","Young","0","0","6100","ATL@MEM","ATL","MEM","","","","",""
"28835-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","22.15696233435522","79","6100","SAC@GS","SAC","GS","O","Knee","","",""
"28835-23572","SF","Taurean","Taurean Prince","Prince","25.90602350809488","83","6000","ATL@MEM","ATL","MEM","O","Illness","","",""
"28835-63123","SG","Mario","Mario Hezonja","Hezonja","19.562666015625","75","6000","NO@NY","NY","NO","","","","",""
"28835-9673","PG","Goran","Goran Dragic","Dragic","29.857894094366777","76","6000","MIA@WAS","MIA","WAS","","","","",""
"28835-19781","SG","Kent","Kent Bazemore","Bazemore","26.978461162860576","65","5900","ATL@MEM","ATL","MEM","","","","",""
"28835-80809","SF","Josh","Josh Jackson","Jackson","23.535064300933442","77","5900","POR@PHO","PHO","POR","","","","",""
"28835-23665","SG","Buddy","Buddy Hield","Hield","23.679012345679013","81","5800","SAC@GS","SAC","GS","","","","",""
"28835-9966","PF","James","James Johnson","Johnson","25.446575008026542","73","5800","MIA@WAS","MIA","WAS","O","Upper body","","",""
"28835-9538","SF","Trevor","Trevor Ariza","Ariza","23.467164907882463","67","5500","POR@PHO","PHO","POR","","","","",""
"28835-12342","SF","Al-Farouq","Al-Farouq Aminu","Aminu","24.318840579710145","69","5400","POR@PHO","POR","PHO","","","","",""
"28835-84683","PF","Jaren","Jaren Jackson Jr.","Jackson Jr.","0","0","5400","ATL@MEM","MEM","ATL","","","","",""
"28835-40201","PG","Dennis","Dennis Schroder","Schroder","33.24029996501866","67","5300","OKC@MIN","OKC","MIN","","","","",""
"28835-80810","PG","De'Aaron","De'Aaron Fox","Fox","22.651350691511823","74","5200","SAC@GS","SAC","GS","","","","",""
"28835-16301","C","Dewayne","Dewayne Dedmon","Dedmon","24.60967820690524","62","5200","ATL@MEM","ATL","MEM","O","Ankle","","",""
"28835-22541","C","Kelly","Kelly Olynyk","Olynyk","24.24605198910362","76","5100","MIA@WAS","MIA","WAS","","","","",""
"28835-14511","PF","Markieff","Markieff Morris","Morris","23.28493217572774","73","5100","MIA@WAS","WAS","MIA","","","","",""
"28835-84674","SF","Kevin","Kevin Knox","Knox","0","0","5100","NO@NY","NY","NO","","","","",""
"28835-15814","C","Alex","Alex Len","Len","21.99420254472373","69","5100","ATL@MEM","ATL","MEM","","","","",""
"28835-9481","PF","Taj","Taj Gibson","Gibson","25.88170791253811","82","5000","OKC@MIN","MIN","OKC","","","","",""
"28835-58153","SF","Kelly","Kelly Oubre Jr.","Oubre Jr.","22.106172538097994","81","5000","MIA@WAS","WAS","MIA","","","","",""
"28835-16220","SG","Dion","Dion Waiters","Waiters","23.89666748046875","30","5000","MIA@WAS","MIA","WAS","O","Ankle","","",""
"28835-9570","C","Pau","Pau Gasol","Gasol","26.977922712053573","77","5000","DET@SA","SA","DET","","","","",""
"28835-15405","PF","JaMychal","JaMychal Green","Green","24.35090997869318","55","4900","ATL@MEM","MEM","ATL","","","","",""
"28835-84679","PF","Marvin","Marvin Bagley III","Bagley III","0","0","4800","SAC@GS","SAC","GS","","","","",""
"28835-58084","SF","Justise","Justise Winslow","Winslow","20.279411764705884","68","4800","MIA@WAS","MIA","WAS","","","","",""
"28835-9579","PF","Zach","Zach Randolph","Randolph","26.506780074814618","59","4800","SAC@GS","SAC","GS","","","","",""
"28835-67556","SG","Tyler","Tyler Dorsey","Dorsey","12.651785714285714","56","4800","ATL@MEM","ATL","MEM","","","","",""
"28835-58350","SF","Stanley","Stanley Johnson","Johnson","19.121739484261774","69","4800","DET@SA","DET","SA","","","","",""
"28835-58134","SF","Justin","Justin Jackson","Jackson","12.814706241383272","68","4700","SAC@GS","SAC","GS","","","","",""
"28835-23831","SF","Jerami","Jerami Grant","Grant","17.571605541087962","81","4700","OKC@MIN","OKC","MIN","","","","",""
"28835-16178","SF","Maurice","Maurice Harkless","Harkless","15.116949566340041","59","4700","POR@PHO","POR","PHO","O","Knee","","",""
"28835-58378","C","Jakob","Jakob Poeltl","Poeltl","17.757316775438262","82","4600","DET@SA","SA","DET","","","","",""
"28835-12368","PF","Nemanja","Nemanja Bjelica","Bjelica","15.788060430270523","67","4400","SAC@GS","SAC","GS","O","Knee","","",""
"28835-70819","PF","Dragan","Dragan Bender","Bender","15.502438428925306","82","4400","POR@PHO","PHO","POR","","","","",""
"28835-15947","SF","Reggie","Reggie Bullock","Bullock","18.682258852066532","62","4300","DET@SA","DET","SA","","","","",""
"28835-15583","PG","Seth","Seth Curry","Curry","22.30142822265625","70","4300","POR@PHO","POR","PHO","","","","",""
"28835-15592","SG","Austin","Austin Rivers","Rivers","26.524590163934427","61","4300","MIA@WAS","WAS","MIA","","","","",""
"28835-9664","SG","Andre","Andre Iguodala","Iguodala","18.799999237060547","64","4300","SAC@GS","GS","SAC","","","","",""
"28835-12359","SG","Evan","Evan Turner","Turner","16.839241124406644","79","4100","POR@PHO","POR","PHO","","","","",""
"28835-12443","PG","Jeremy","Jeremy Lin","Lin","21","1","4100","ATL@MEM","ATL","MEM","","","","",""
"28835-84670","SF","Mikal","Mikal Bridges","Bridges","0","0","4100","POR@PHO","PHO","POR","","","","",""
"28835-12511","PG","Ish","Ish Smith","Smith","22.521951814977132","82","4100","DET@SA","DET","SA","","","","",""
"28835-84709","C","Mitchell","Mitchell Robinson","Robinson","0","0","4100","NO@NY","NY","NO","GTD","Ankle","","",""
"28835-80817","C","Bam","Bam Adebayo","Adebayo","17.98115871263587","69","4100","MIA@WAS","MIA","WAS","O","Shoulder","","",""
"28835-15843","PG","Trey","Trey Burke","Burke","23.394444783528645","36","4100","NO@NY","NY","NO","","","","",""
