"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28859-9642","PG","Russell","Russell Westbrook","Westbrook","53.96543451003087","81","12500","OKC@GS","OKC","GS","O","Knee","","",""
"28859-9646","SF","Kevin","Kevin Durant","Durant","46.97826086956522","69","10600","OKC@GS","GS","OKC","","","","",""
"28859-49111","C","Joel","Joel Embiid","Embiid","43.646153846153844","65","10400","PHI@BOS","PHI","BOS","","","","",""
"28859-66115","PG","Ben","Ben Simmons","Simmons","42.18292682926829","82","10000","PHI@BOS","PHI","BOS","","","","",""
"28859-9524","PG","Stephen","Stephen Curry","Curry","43.42115196814904","52","9600","OKC@GS","GS","OKC","O","Personal","","",""
"28859-12341","SF","Paul","Paul George","George","38.54874877929687","80","9000","OKC@GS","OKC","GS","","","","",""
"28859-12362","C","DeMarcus","DeMarcus Cousins","Cousins","53.335418701171875","48","9000","OKC@GS","GS","OKC","O","Achilles","","",""
"28859-14498","PG","Kyrie","Kyrie Irving","Irving","38.38196801357582","61","8400","PHI@BOS","BOS","PHI","O","Rest","","",""
"28859-15860","PF","Draymond","Draymond Green","Green","35.971830985915496","71","8000","OKC@GS","GS","OKC","O","Knee","","",""
"28859-12366","SF","Gordon","Gordon Hayward","Hayward","3.200000047683716","1","7400","PHI@BOS","BOS","PHI","O","Back","","",""
"28859-9453","C","Al","Al Horford","Horford","31.78767123287671","73","7000","PHI@BOS","BOS","PHI","","","","",""
"28859-23169","C","Steven","Steven Adams","Adams","31.473684210526315","76","6900","OKC@GS","OKC","GS","","","","",""
"28859-14509","SG","Klay","Klay Thompson","Thompson","30.11756690772804","74","6800","OKC@GS","GS","OKC","","","","",""
"28859-20491","SF","Robert","Robert Covington","Covington","28.270001220703126","80","6500","PHI@BOS","PHI","BOS","","","","",""
"28859-55056","PF","Dario","Dario Saric","Saric","27.343039210838608","79","6400","PHI@BOS","PHI","BOS","","","","",""
"28859-80808","PF","Jayson","Jayson Tatum","Tatum","26.249382113233025","81","6200","PHI@BOS","BOS","PHI","","","","",""
"28859-40201","SG","Dennis","Dennis Schroder","Schroder","33.24029996501866","67","6100","OKC@GS","OKC","GS","","","","",""
"28859-67026","SG","Jaylen","Jaylen Brown","Brown","25.657745791153168","71","5900","PHI@BOS","BOS","PHI","","","","",""
"28859-80805","PG","Markelle","Markelle Fultz","Fultz","18.864286150251115","14","5700","PHI@BOS","PHI","BOS","","","","",""
"28859-23670","SG","Marcus","Marcus Smart","Smart","24.4129638671875","54","5700","PHI@BOS","BOS","PHI","","","","",""
"28859-40769","C","Jordan","Jordan Bell","Bell","15.53333376165022","57","5400","OKC@GS","GS","OKC","","","","",""
"28859-9655","SG","JJ","JJ Redick","Redick","24.95142822265625","70","5100","PHI@BOS","PHI","BOS","","","","",""
"28859-9636","SF","Wilson","Wilson Chandler","Chandler","21.75135102143159","74","4900","PHI@BOS","PHI","BOS","O","Hamstring","","",""
"28859-23831","PF","Jerami","Jerami Grant","Grant","17.571605541087962","81","4700","OKC@GS","OKC","GS","","","","",""
"28859-14512","PF","Marcus","Marcus Morris","Morris","23.42222312644676","54","4500","PHI@BOS","BOS","PHI","","","","",""
"28859-9664","SG","Andre","Andre Iguodala","Iguodala","18.799999237060547","64","4300","OKC@GS","GS","OKC","","","","",""
"28859-42677","PG","Terry","Terry Rozier","Rozier","23.914999389648436","80","4100","PHI@BOS","BOS","PHI","","","","",""
"28859-23825","C","Nerlens","Nerlens Noel","Noel","16.520000203450522","30","4000","OKC@GS","OKC","GS","","","","",""
"28859-41082","C","Damian","Damian Jones","Jones","3.51999994913737","15","4000","OKC@GS","GS","OKC","","","","",""
"28859-18376","SG","Damion","Damion Lee","Lee","22.380000813802084","15","3800","OKC@GS","GS","OKC","","","","",""
"28859-40206","SG","Alex","Alex Abrines","Abrines","8.597333170572917","75","3700","OKC@GS","OKC","GS","","","","",""
"28859-15548","SG","Andre","Andre Roberson","Roberson","17.82051282051282","39","3700","OKC@GS","OKC","GS","O","Kneecap","","",""
"28859-84708","C","Robert","Robert Williams III","Williams III","0","0","3700","PHI@BOS","BOS","PHI","","","","",""
"28859-42158","SG","Jabari","Jabari Bird","Bird","5.984615619365986","13","3600","PHI@BOS","BOS","PHI","GTD","Not injury related","","",""
"28859-84672","SG","Zhaire","Zhaire Smith","Smith","0","0","3600","PHI@BOS","PHI","BOS","O","Foot","","",""
"28859-18393","PG","T.J.","T.J. McConnell","McConnell","18.482894094366777","76","3600","PHI@BOS","PHI","BOS","","","","",""
"28859-9465","PG","Raymond","Raymond Felton","Felton","14.335365853658537","82","3600","OKC@GS","OKC","GS","","","","",""
"28859-18435","SF","Alfonzo","Alfonzo McKinnie","McKinnie","2.421428680419922","14","3500","OKC@GS","GS","OKC","","","","",""
"28859-9862","PF","Amir","Amir Johnson","Johnson","15.216216216216216","74","3500","PHI@BOS","PHI","BOS","","","","",""
"28859-96775","PF","Norvel","Norvel Pelle","Pelle","0","0","3500","PHI@BOS","PHI","BOS","","","","",""
"28859-19726","SF","Abdel","Abdel Nader","Nader","6.483333587646484","48","3500","OKC@GS","OKC","GS","O","Knee","","",""
"28859-16400","PG","Abdul","Abdul Gaddy","Gaddy","0","0","3500","OKC@GS","OKC","GS","","","","",""
"28859-66196","SG","PJ","PJ Dozier","Dozier","1.100000023841858","2","3500","PHI@BOS","BOS","PHI","","","","",""
"28859-15510","PF","Richard","Richard Solomon","Solomon","0","0","3500","OKC@GS","OKC","GS","O","Knee","","",""
"28859-16790","PG","Brad","Brad Wanamaker","Wanamaker","0","0","3500","PHI@BOS","BOS","PHI","","","","",""
"28859-9631","C","Emeka","Emeka Okafor","Okafor","13.692307692307692","26","3500","PHI@BOS","PHI","BOS","","","","",""
"28859-70823","PF","Guerschon","Guerschon Yabusele","Yabusele","5.4666664817116475","33","3500","PHI@BOS","BOS","PHI","","","","",""
"28859-70825","SG","Timothe","Timothe Luwawu-Cabarrot","Luwawu-Cabarrot","9.219230651855469","52","3500","OKC@GS","OKC","GS","","","","",""
"28859-9643","PG","Shaun","Shaun Livingston","Livingston","12.270422707141286","71","3500","OKC@GS","GS","OKC","","","","",""
"28859-37931","C","Aron","Aron Baynes","Baynes","15.818519121334877","81","3500","PHI@BOS","BOS","PHI","","","","",""
"28859-70826","SG","Furkan","Furkan Korkmaz","Korkmaz","3.5142857687813893","14","3500","PHI@BOS","PHI","BOS","","","","",""
"28859-15532","SG","KJ","KJ McDaniels","McDaniels","8.283673344826212","49","3500","OKC@GS","OKC","GS","","","","",""
"28859-12340","PF","Patrick","Patrick Patterson","Patterson","9.954877899914253","82","3500","OKC@GS","OKC","GS","","","","",""
"28859-41269","PG","Demetrius","Demetrius Jackson","Jackson","3.3933334350585938","15","3500","PHI@BOS","PHI","BOS","","","","",""
"28859-80820","SG","Terrance","Terrance Ferguson","Ferguson","5.981967113057121","61","3500","OKC@GS","OKC","GS","","","","",""
"28859-82743","SG","Walter","Walter Lemon Jr.","Lemon Jr.","5.179999923706054","5","3500","PHI@BOS","BOS","PHI","","","","",""
"28859-16188","SF","Anthony","Anthony Brown","Brown","4.5","1","3500","PHI@BOS","PHI","BOS","","","","",""
"28859-23612","SF","Marcus","Marcus Georges-Hunt","Georges-Hunt","2.4690475463867188","42","3500","PHI@BOS","BOS","PHI","","","","",""
"28859-101321","SF","Nicholas","Nicholas King","King","0","0","3500","PHI@BOS","BOS","PHI","","","","",""
"28859-101320","SF","Jeff","Jeff Roberson","Roberson","0","0","3500","PHI@BOS","BOS","PHI","","","","",""
"28859-40780","PG","Bryce","Bryce Alford","Alford","0","0","3500","OKC@GS","OKC","GS","","","","",""
"28859-58574","PF","Jonah","Jonah Bolden","Bolden","0","0","3500","PHI@BOS","PHI","BOS","","","","",""
"28859-58576","PF","Kevon","Kevon Looney","Looney","12.530303030303031","66","3500","OKC@GS","GS","OKC","","","","",""
