"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28806-9488","SF","LeBron","LeBron James","James","54.051804875753014","83","11700","SAC@LAL","LAL","SAC","","","","",""
"28806-9644","SG","James","James Harden","Harden","52.73561576947774","73","11400","IND@HOU","HOU","IND","","","","",""
"28806-9623","PG","Chris","Chris Paul","Paul","40.44138099407328","58","9100","IND@HOU","HOU","IND","","","","",""
"28806-15684","SG","Victor","Victor Oladipo","Oladipo","42.00526187294408","76","8800","IND@HOU","IND","HOU","","","","",""
"28806-55059","C","Clint","Clint Capela","Capela","34.762160842483105","74","7800","IND@HOU","HOU","IND","GTD","Foot","","",""
"28806-80806","PG","Lonzo","Lonzo Ball","Ball","34.25","52","7600","SAC@LAL","LAL","SAC","O","Knee","","",""
"28806-9692","SG","Tyreke","Tyreke Evans","Evans","35.29423170823317","52","7400","IND@HOU","IND","HOU","GTD","Undisclosed","","",""
"28806-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","29.10958904109589","73","6900","SAC@LAL","SAC","LAL","","","","",""
"28806-66048","SF","Brandon","Brandon Ingram","Ingram","29.98166707356771","60","6800","SAC@LAL","LAL","SAC","","","","",""
"28806-58253","C","Myles","Myles Turner","Turner","28.121538837139422","65","6700","IND@HOU","IND","HOU","","","","",""
"28806-58377","SF","Kyle","Kyle Kuzma","Kuzma","27.83974358974359","78","6200","SAC@LAL","LAL","SAC","","","","",""
"28806-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","22.15696233435522","79","6100","SAC@LAL","SAC","LAL","O","Knee","","",""
"28806-23665","SG","Buddy","Buddy Hield","Hield","23.679012345679013","81","5800","SAC@LAL","SAC","LAL","","","","",""
"28806-9508","SF","Carmelo","Carmelo Anthony","Anthony","27.52692432892628","78","5700","IND@HOU","HOU","IND","","","","",""
"28806-9666","PF","Thaddeus","Thaddeus Young","Young","27.227159288194443","81","5700","IND@HOU","IND","HOU","O","Foot","","",""
"28806-9556","SG","Eric","Eric Gordon","Gordon","25.52173913043478","69","5700","IND@HOU","HOU","IND","","","","",""
"28806-59358","C","Domantas","Domantas Sabonis","Sabonis","25.114666341145835","75","5600","IND@HOU","IND","HOU","","","","",""
"28806-15636","SG","Kentavious","Kentavious Caldwell-Pope","Caldwell-Pope","26.640540870460303","74","5200","SAC@LAL","LAL","SAC","","","","",""
"28806-80810","PG","De'Aaron","De'Aaron Fox","Fox","22.651350691511823","74","5200","SAC@LAL","SAC","LAL","","","","",""
