Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
29206-70826,SG,Furkan,Furkan Korkmaz,Korkmaz,0,1,3500,CHI@PHI,PHI,CHI,,,
29206-23981,PG,Alex,Alex Caruso,Caruso,10.31081081,37,3500,LAL@POR,LAL,POR,GTD,Hip,
29206-80812,PF,Lauri,Lauri Markkanen,Markkanen,28.09855143,69,3500,CHI@PHI,CHI,PHI,O,Elbow,
29206-41269,PG,Demetrius,Demetrius Jackson,Jackson,3.393333435,15,3500,CHI@PHI,PHI,CHI,,,
29206-23097,PG,Tomas,Tomas Satoransky,Satoransky,18.48493184,73,3500,MIA@WAS,WAS,MIA,,,
29206-23740,PG,Ryan,Ryan Arcidiacono,Arcidiacono,6.520833333,24,3500,CHI@PHI,CHI,PHI,,,
29206-84668,SF,Troy,Troy Brown Jr.,Brown Jr.,0,0,3500,MIA@WAS,WAS,MIA,,,
29206-66114,SG,Antonio,Antonio Blakeney,Blakeney,12.29473716,19,3500,CHI@PHI,CHI,PHI,,,
29206-9669,PF,Jason,Jason Smith,Smith,6.957575943,33,3500,MIA@WAS,WAS,MIA,,,
29206-58574,PF,Jonah,Jonah Bolden,Bolden,0,1,3500,CHI@PHI,PHI,CHI,,,
29206-9810,PG,Jerryd,Jerryd Bayless,Bayless,13.46153846,39,3500,CHI@PHI,PHI,CHI,O,Knee,
29206-84691,SG,Shake,Shake Milton,Milton,0,0,3500,CHI@PHI,PHI,CHI,GTD,Back,
29206-58457,SF,Devin,Devin Robinson,Robinson,11,1,3500,MIA@WAS,WAS,MIA,,,
29206-85467,PF,Yante,Yante Maten,Maten,0,0,3500,MIA@WAS,MIA,WAS,,,
29206-58463,PG,Tyler,Tyler Ulis,Ulis,18.00140811,71,3500,CHI@PHI,CHI,PHI,,,
29206-9953,C,Ian,Ian Mahinmi,Mahinmi,12.45324707,77,3500,MIA@WAS,WAS,MIA,,,
29206-16230,SG,Jordan,Jordan McRae,McRae,0,0,3500,MIA@WAS,WAS,MIA,,,
29206-17894,C,Mike,Mike Muscala,Muscala,16.78301887,53,3500,CHI@PHI,PHI,CHI,GTD,Ankle,
29206-84713,SG,Svi,Svi Mykhailiuk,Mykhailiuk,0,0,3500,LAL@POR,LAL,POR,,,
29206-84714,C,Moritz,Moritz Wagner,Wagner,0,0,3500,LAL@POR,LAL,POR,O,Knee,
29206-84717,SG,Anfernee,Anfernee Simons,Simons,0,0,3500,LAL@POR,POR,LAL,,,
29206-67312,C,Thomas,Thomas Bryant,Bryant,3.893333435,15,3500,MIA@WAS,WAS,MIA,,,
29206-84722,SF,Isaac,Isaac Bonga,Bonga,0,0,3500,LAL@POR,LAL,POR,,,
29206-9589,PF,Udonis,Udonis Haslem,Haslem,2.25,14,3500,MIA@WAS,MIA,WAS,,,
29206-84724,PG,Landry,Landry Shamet,Shamet,2.200000048,1,3500,CHI@PHI,PHI,CHI,,,
29206-23801,SG,Nik,Nik Stauskas,Stauskas,8.031707019,41,3500,LAL@POR,POR,LAL,,,
29206-58490,PG,Wade,Wade Baldwin IV,Baldwin IV,8.585714068,7,3500,LAL@POR,POR,LAL,,,
29206-85242,SG,Rawle,Rawle Alkins,Alkins,0,0,3500,CHI@PHI,CHI,PHI,,,
