,ID,Pos2,Pos3,Position
250,9655,PG,SF,SG
251,9483,PF,C,C
252,9968,PG,SF,SG
253,16363,SG,PF,SF
254,59318,SG,PF,SF
255,9447,SG,PF,SF
256,18828,PG,SG,PG
257,23189,C,SF,PF
258,49111,PF,C,C
259,40209,PF,C,C
260,66236,C,SF,PF
261,71468,PG,SF,SG
262,15952,C,SF,PF
263,59416,SG,PF,SF
264,12332,PG,SG,PG
265,41597,SG,PF,SF
266,15792,C,SF,PF
267,14539,C,SF,PF
268,9962,C,SF,PF
269,14503,PF,C,C
270,80811,C,SF,PF
271,18821,SG,PF,SF
272,40769,C,SF,PF
273,20640,PG,SF,SG
274,12352,PG,SF,SG
275,41063,C,SF,PF
276,9712,PG,SG,PG
277,82697,PG,SG,PG
278,40562,PG,SF,SG
279,16191,SG,PF,SF
280,80809,SG,PF,SF
281,74163,PG,SG,PG
282,9778,C,SF,PF
283,16233,SG,PF,SF
284,9449,C,SF,PF
285,9506,PG,SF,SG
286,9663,PG,SG,PG
287,70822,SG,PF,SF
288,42669,PF,C,C
289,16906,PG,SG,PG
290,23744,SG,PF,SF
291,16604,PG,SF,SG
292,58134,SG,PF,SF
293,66424,PF,C,C
294,58084,SG,PF,SF
295,55057,PF,C,C
296,58289,PG,SG,PG
297,58462,PF,C,C
298,14513,SG,PF,SF
299,43064,PG,SG,PG
300,22541,C,SF,PF
301,58153,SG,PF,SF
302,14507,PG,SG,PG
303,45123545,PF,C,C
304,14521,C,SF,PF
305,19781,PG,SF,SG
306,15636,PG,SF,SG
307,9646,SG,PF,SF
308,9874,C,SF,PF
309,58576,C,SF,PF
310,16081,C,SF,PF
311,16261,PG,SF,SG
312,14509,PG,SF,SG
313,81623,PG,SF,SG
314,9731,PF,C,C
315,23802,PG,SF,SG
316,63122,C,SF,PF
317,23716,SG,PF,SF
318,42805,PG,SF,SG
319,9870,PG,SF,SG
320,58377,C,SF,PF
321,9535,PG,SG,PG
322,17384,PF,C,C
323,14532,SG,PF,SF
324,14498,PG,SG,PG
325,9688,C,SF,PF
326,12369,SG,PF,SF
327,16859,SG,PF,SF
328,17230,PG,SG,PG
329,16284,PG,SG,PG
330,20992,C,SF,PF
331,80812,C,SF,PF
332,9488,SG,PF,SF
333,40267,PG,SG,PG
334,80806,PG,SG,PG
335,15964,PG,SG,PG
336,9662,PG,SF,SG
337,9796,C,SF,PF
338,40200,PF,C,C
339,63477,SG,PF,SF
340,12349,C,SF,PF
341,66046,PG,SF,SG
342,41083,C,SF,PF
343,9479,SG,PF,SF
344,66203,PG,SF,SG
345,16359,PG,SG,PG
346,71467,PG,SG,PG
347,18811,C,SF,PF
348,66064,PG,SF,SG
349,80816,PG,SF,SG
350,34779,C,SF,PF
351,9704,PG,SF,SG
352,9581,PF,C,C
353,9661,PF,C,C
354,9715,PG,SF,SG
355,23612,PG,SF,SG
356,14512,C,SF,PF
357,23655,PG,SG,PG
358,23670,PG,SF,SG
359,9583,PG,SG,PG
360,63123,SG,PF,SF
361,16062,PG,SF,SG
362,80805,PG,SG,PG
363,14511,C,SF,PF
364,67707,C,SF,PF
365,15765,PG,SG,PG
366,9671,PF,C,C
367,15589,PF,C,C
368,14524,SG,PF,SF
369,9451,C,SF,PF
370,15590,PF,C,C
371,24543,C,SF,PF
372,23350,PG,SF,SG
373,20064,PG,SG,PG
374,16178,SG,PF,SF
375,81621,C,SF,PF
376,15669,PF,C,C
377,9587,C,SF,PF
378,16201,PG,SG,PG
379,15758,SG,PF,SF
380,9575,PG,SG,PG
381,19049,PG,SG,PG
382,17894,PF,C,C
383,16368,C,SF,PF
384,41275,C,SF,PF
385,15591,PF,C,C
386,81026,PG,SG,PG
387,23618,PG,SG,PG
388,71345,PG,SF,SG
389,23178,SG,PF,SF
390,40396,PG,SG,PG
391,23776,C,SF,PF
392,82489,PG,SF,SG
393,58253,PF,C,C
394,20313,PG,SG,PG
395,23155,PG,SG,PG
396,12368,SG,PF,SF
397,9512,PF,C,C
398,23825,PF,C,C
399,9649,PF,C,C
400,9737,PG,SF,SG
401,9809,PG,SF,SG
402,71469,SG,PF,SF
403,40367,C,SF,PF
404,23801,PG,SF,SG
405,55062,PF,C,C
406,14522,C,SF,PF
407,14514,PF,C,C
408,42661,C,SF,PF
409,16293,PG,SF,SG
410,68090,SG,PF,SF
411,15620,C,SF,PF
412,16625,C,SF,PF
413,12423,PF,C,C
414,9960,SG,PF,SF
415,15628,C,SF,PF
416,60021,C,SF,PF
417,15993,PG,SF,SG
418,12474,PG,SG,PG
419,58658,PG,SF,SG
420,12340,C,SF,PF
421,9939,PG,SG,PG
422,9570,PF,C,C
423,12341,SG,PF,SF
424,9729,C,SF,PF
425,70832,SG,PF,SF
426,66196,PG,SF,SG
427,23407,SG,PF,SF
428,15469,C,SF,PF
429,12357,SG,PF,SF
430,15582,PG,SG,PG
431,23248,PG,SF,SG
432,9455,PG,SG,PG
433,9605,PG,SG,PG
434,58661,PG,SF,SG
435,40208,PG,SG,PG
436,9465,PG,SG,PG
437,15947,SG,PF,SF
438,15982,PG,SF,SG
439,14523,PG,SG,PG
440,9706,SG,PF,SF
441,23447,PF,C,C
442,14496,PG,SG,PG
443,20491,SG,PF,SF
444,9873,PF,C,C
445,15904,PG,SF,SG
446,15744,SG,PF,SF
447,23119,PG,SG,PG
448,22727,PG,SG,PG
449,42148,C,SF,PF
450,18338,SG,PF,SF
451,9577,SG,PF,SF
452,40203,PF,C,C
453,9642,PG,SG,PG
454,9772,C,SF,PF
455,23740,PG,SG,PG
456,64017,PF,C,C
457,23282,SG,PF,SF
458,16607,PG,SF,SG
459,15520,PG,SF,SG
460,48598,SG,PF,SF
461,9957,C,SF,PF
462,15583,PG,SF,SG
463,23717,SG,PF,SF
464,15560,PG,SG,PG
465,15834,PG,SG,PG
466,82744,PG,SF,SG
467,9643,PG,SG,PG
468,16246,PG,SF,SG
469,14533,PG,SG,PG
470,41077,PG,SF,SG
471,66109,C,SF,PF
472,15417,SG,PF,SF
473,15542,PG,SG,PG
474,58350,SG,PF,SF
475,9524,PG,SG,PG
476,40262,PG,SF,SG
477,23169,PF,C,C
478,18393,PG,SG,PG
479,9481,C,SF,PF
480,17332,C,SF,PF
481,23572,SG,PF,SF
482,80820,PG,SF,SG
483,16405,PG,SF,SG
484,42677,PG,SF,SG
485,9647,SG,PF,SF
486,9666,C,SF,PF
487,67312,PF,C,C
488,70820,PF,C,C
489,16071,PG,SG,PG
490,15846,PG,SF,SG
491,41605,PG,SF,SG
492,12424,PF,C,C
493,70825,PG,SF,SG
494,80818,C,SF,PF
495,23120,SG,PF,SF
496,14518,C,SF,PF
497,23097,PG,SG,PG
498,9458,SG,PF,SF
499,80823,PF,C,C
500,9702,PG,SG,PG
501,17517,PG,SF,SG
502,20277,SG,PF,SF
503,16298,C,SF,PF
504,20806,PG,SF,SG
505,9538,SG,PF,SF
506,12350,C,SF,PF
507,15843,PG,SG,PG
508,15835,PG,SF,SG
509,58461,C,SF,PF
510,14501,PF,C,C
511,20805,PG,SF,SG
512,42662,SG,PF,SF
513,23121,C,SF,PF
514,67556,PG,SG,PG
515,42689,PG,SG,PG
516,18600,PG,SG,PG
517,66205,C,SF,PF
518,58463,PG,SG,PG
519,15961,PF,C,C
520,9692,PG,SF,SG
521,24186,PG,SG,PG
522,9473,PF,C,C
523,58081,PG,SG,PG
524,9589,PF,C,C
525,15798,PG,SF,SG
526,15684,PG,SF,SG
527,9654,SG,PF,SF
528,43081,C,SF,PF
529,58490,PG,SG,PG
530,82743,PG,SF,SG
531,9956,PG,SF,SG
532,49115,PG,SF,SG
533,48940,SG,PF,SF
534,12348,SG,PF,SF
535,9799,PG,SF,SG
536,17333,PG,SF,SG
537,23823,PF,C,C
538,34615,PF,C,C
539,63127,PF,C,C
540,9636,SG,PF,SF
541,23684,PG,SF,SG
542,40246,PG,SG,PG
543,16855,PG,SF,SG
544,81528,PG,SF,SG
545,23772,PG,SF,SG
546,80815,PF,C,C
547,40783,PG,SF,SG
548,9579,C,SF,PF
549,9454,PF,C,C
550,70830,PF,C,C
551,66115,PG,SG,PG
552,9663,PG,SF,SG
553,15595,PG,SG,PG
554,42669,C,SF,PF
555,84673,C,SF,PF
556,15628,SG,PF,SF
557,15846,SG,PF,SF
558,84671,PG,SG,PG
559,63123,PG,SF,SG
560,80811,SG,PF,SF
561,84674,SG,PF,SF
562,84679,C,SF,PF
563,67556,PG,SF,SG
564,12368,C,SF,PF
565,12443,PG,SG,PG
566,84670,SG,PF,SF
567,84709,PF,C,C
568,84675,C,SF,PF
569,9654,PG,SF,SG
570,23447,C,SF,PF
571,84703,PG,SG,PG
572,17747,PG,SF,SG
573,84672,PG,SF,SG
574,16081,PF,C,C
575,84704,PG,SF,SG
576,96775,C,SF,PF
577,48668,PG,SG,PG
578,85290,PG,SF,SG
579,41272,PG,SF,SG
580,85305,C,SF,PF
581,23097,SG,PF,SF
582,66104,PG,SG,PG
583,16197,PG,SF,SG
584,84808,PG,SF,SG
585,84827,PG,SF,SG
586,16230,PG,SF,SG
587,15730,C,SF,PF
588,101266,PG,SF,SG
589,85150,PG,SF,SG
590,58800,PG,SF,SG
591,80824,PG,SF,SG
592,84668,SG,PF,SF
593,23744,PG,SF,SG
594,22727,PG,SF,SG
595,14540,PG,SF,SG
596,58574,C,SF,PF
597,84687,SG,PF,SF
598,84686,PG,SG,PG
599,84691,PG,SF,SG
600,101333,SG,PF,SF
601,14549,C,SF,PF
602,101332,PG,SF,SG
603,85466,C,SF,PF
604,23772,PG,SG,PG
605,84705,C,SF,PF
606,17894,C,SF,PF
607,84720,SG,PF,SF
608,84724,PG,SG,PG
609,97018,PG,SG,PG
610,58377,SG,PF,SF
611,9508,SG,PF,SF
612,59358,PF,C,C
613,9587,SG,PF,SF
614,12369,PG,SF,SG
615,14506,PG,SG,PG
616,16298,SG,PF,SF
617,23981,PG,SG,PG
618,70830,C,SF,PF
619,85174,PG,SF,SG
620,80825,C,SF,PF
621,80826,C,SF,PF
622,101323,PG,SF,SG
623,101322,PG,SG,PG
624,85585,PG,SF,SG
625,101331,C,SF,PF
626,84713,PG,SF,SG
627,84712,SG,PF,SF
628,84714,PF,C,C
629,84719,PG,SG,PG
630,84718,C,SF,PF
631,16625,SG,PF,SF
632,84722,SG,PF,SF
633,85241,C,SF,PF
634,101372,SG,PF,SF
635,14528,PG,SF,SG
636,49116,SG,PF,SF
637,12342,SG,PF,SF
638,84683,C,SF,PF
639,22541,PF,C,C
640,23831,SG,PF,SF
641,15583,PG,SG,PG
642,9664,PG,SF,SG
643,12359,PG,SF,SG
644,80817,PF,C,C
645,84695,PG,SF,SG
646,18600,PG,SF,SG
647,17541,SG,PF,SF
648,84702,PG,SF,SG
649,84723,PG,SF,SG
650,18435,SG,PF,SF
651,101385,PF,C,C
652,101387,PG,SG,PG
653,16400,PG,SG,PG
654,97299,PG,SF,SG
655,97298,PG,SG,PG
656,16925,C,SF,PF
657,15419,PG,SF,SG
658,12357,PG,SF,SG
659,85587,PF,C,C
660,85586,C,SF,PF
661,85588,PG,SF,SG
662,85591,SG,PF,SF
663,85106,PG,SF,SG
664,58490,PG,SF,SG
665,85137,PG,SF,SG
666,85140,PG,SG,PG
667,15510,C,SF,PF
668,58519,PG,SF,SG
669,15532,PG,SF,SG
670,14524,PG,SF,SG
671,14543,SG,PF,SF
672,84689,PG,SF,SG
673,84688,SG,PF,SF
674,84694,PG,SF,SG
675,84697,SG,PF,SF
676,84696,PG,SG,PG
677,84699,PG,SF,SG
678,84701,C,SF,PF
679,23788,PG,SG,PG
680,84717,PG,SF,SG
681,85238,SG,PF,SF
682,23294,SG,PF,SF
683,23810,SG,PF,SF
684,15620,SG,PF,SF
685,19726,SG,PF,SF
686,84809,PG,SG,PG
687,40780,PG,SG,PG
688,84830,PG,SF,SG
689,9589,C,SF,PF
690,15744,PG,SF,SG
691,15771,PF,C,C
692,67486,C,SF,PF
693,15802,PG,SF,SG
694,16335,PG,SF,SG
695,101329,PG,SF,SG
696,85467,C,SF,PF
697,85483,PF,C,C
698,85482,PF,C,C
699,97263,C,SF,PF
700,97268,PF,C,C
701,96763,PG,SG,PG
702,97275,PG,SF,SG
703,9692,SG,PF,SF
704,9809,SG,PF,SF
705,84673,PF,C,C
706,17333,SG,PF,SF
707,84669,PG,SF,SG
708,58312,PG,SG,PG
709,20992,SG,PF,SF
710,23096,PG,SF,SG
711,80809,C,SF,PF
712,15559,PG,SF,SG
713,16359,PG,SF,SG
714,84667,PG,SG,PG
715,84674,C,SF,PF
716,15501,PG,SF,SG
717,84682,C,SF,PF
718,82744,PG,SG,PG
719,14554,SG,PF,SF
720,49114,PG,SF,SG
721,15800,SG,PF,SF
722,15947,PG,SF,SG
723,9849,SG,PF,SF
724,23407,C,SF,PF
725,84675,PF,C,C
726,60233,PG,SF,SG
727,84678,SG,PF,SF
728,84680,PG,SG,PG
729,84690,PG,SG,PG
730,84711,PG,SF,SG
731,16363,PG,SF,SG
732,17542,C,SF,PF
733,42733,PG,SF,SG
734,84677,PG,SG,PG
735,17230,PG,SF,SG
736,97297,PG,SG,PG
737,97296,PF,C,C
738,101394,SG,PF,SF
739,59416,PG,SF,SG
740,101411,PG,SG,PG
741,101412,PG,SF,SG
742,12365,PF,C,C
743,23664,PG,SF,SG
744,85105,C,SF,PF
745,23717,PG,SF,SG
746,70824,C,SF,PF
747,42202,C,SF,PF
748,85309,PG,SG,PG
749,85308,PG,SG,PG
750,9613,PG,SG,PG
751,9677,SG,PF,SF
752,9678,C,SF,PF
753,85463,PG,SG,PG
754,66061,SG,PF,SF
755,85521,SG,PF,SF
756,85523,PG,SG,PG
757,85522,PG,SF,SG
758,85597,PG,SG,PG
759,85596,SG,PF,SF
760,23155,PG,SF,SG
761,23156,C,SF,PF
762,24186,PG,SF,SG
763,41597,C,SF,PF
764,66205,SG,PF,SF
765,84681,PG,SF,SG
766,81623,PG,SG,PG
767,84698,SG,PF,SF
768,84700,C,SF,PF
769,84706,PG,SG,PG
770,84716,PF,C,C
771,84721,SG,PF,SF
772,84725,C,SF,PF
773,84726,C,SF,PF
774,84730,PG,SF,SG
775,20277,PG,SF,SG
776,84833,C,SF,PF
777,84836,PF,C,C
778,95117,SG,PF,SF
779,16293,SG,PF,SF
780,101311,SG,PF,SF
781,17344,SG,PF,SF
782,101319,PG,SG,PG
783,101325,SG,PF,SF
784,101324,SG,PF,SF
785,101334,SG,PF,SF
