,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,ID,Player,mean,median
33,9538,SF,Trevor,Trevor Ariza,Ariza,23.470149253731332,67,5500,SAC@PHO,PHO,SAC,,,,,,9538.0,Trevor Ariza,23.470149253731332,23.2
34,18821,SF,Jonathon,Jonathon Simmons,Simmons,22.917391304347834,69,5300,ORL@PHI,ORL,PHI,,,,,,18821.0,Jonathon Simmons,22.917391304347834,22.3
35,80810,PG,De'Aaron,De'Aaron Fox,Fox,22.72054794520548,74,5200,SAC@PHO,SAC,PHO,,,,,,80810.0,De'Aaron Fox,22.72054794520548,23.9
36,16301,C,Dewayne,Dewayne Dedmon,Dedmon,24.60967741935484,62,5200,NO@ATL,ATL,NO,O,Ankle,,,,16301.0,Dewayne Dedmon,24.60967741935484,22.2
37,14511,PF,Markieff,Markieff Morris,Morris,23.290410958904108,73,5100,NY@WAS,WAS,NY,,,,,,14511.0,Markieff Morris,23.290410958904108,23.6
38,9655,SG,JJ,JJ Redick,Redick,24.990000000000016,70,5100,ORL@PHI,PHI,ORL,,,,,,9655.0,J.J. Redick,24.990000000000016,25.65
40,15814,C,Alex,Alex Len,Len,21.924637681159425,69,5100,NO@ATL,ATL,NO,,,,,,15814.0,Alex Len,21.924637681159425,20.8
41,58153,SF,Kelly,Kelly Oubre Jr.,Oubre Jr.,22.091358024691363,81,5000,NY@WAS,WAS,NY,,,,,,58153.0,Kelly Oubre,22.091358024691363,22.8
42,9636,SF,Wilson,Wilson Chandler,Chandler,21.767567567567568,74,4900,ORL@PHI,PHI,ORL,O,Hamstring,,,,9636.0,Wilson Chandler,21.767567567567568,21.049999999999997
43,9579,PF,Zach,Zach Randolph,Randolph,26.50677966101696,59,4800,SAC@PHO,SAC,PHO,,,,,,9579.0,Zach Randolph,26.50677966101696,26.7
45,67556,SG,Tyler,Tyler Dorsey,Dorsey,12.66964285714286,56,4800,NO@ATL,ATL,NO,,,,,,67556.0,Tyler Dorsey,12.66964285714286,12.05
46,58134,SF,Justin,Justin Jackson,Jackson,12.814705882352943,68,4700,SAC@PHO,SAC,PHO,,,,,,58134.0,Justin Jackson,12.814705882352943,11.600000000000001
47,12368,PF,Nemanja,Nemanja Bjelica,Bjelica,15.797014925373132,67,4400,SAC@PHO,SAC,PHO,,,,,,12368.0,Nemanja Bjelica,15.797014925373132,14.1
48,70819,PF,Dragan,Dragan Bender,Bender,15.502439024390242,82,4400,SAC@PHO,PHO,SAC,,,,,,70819.0,Dragan Bender,15.502439024390242,14.7
49,15592,SG,Austin,Austin Rivers,Rivers,26.508196721311467,61,4300,NY@WAS,WAS,NY,,,,,,15592.0,Austin Rivers,26.508196721311467,25.0
50,15996,PG,Jerian,Jerian Grant,Grant,19.70000000000001,74,4200,ORL@PHI,ORL,PHI,,,,,,15996.0,Jerian Grant,19.70000000000001,19.2
51,9466,PG,D.J.,D.J. Augustin,Augustin,19.02266666666667,75,4200,ORL@PHI,ORL,PHI,,,,,,9466.0,D.J. Augustin,19.02266666666667,17.7
54,15843,PG,Trey,Trey Burke,Burke,23.394444444444442,36,4100,NY@WAS,NY,WAS,,,,,,15843.0,Trey Burke,23.394444444444442,22.049999999999997
57,9713,PG,Jarrett,Jarrett Jack,Jack,19.6483870967742,62,4000,NO@ATL,NO,ATL,,,,,,9713.0,Jarrett Jack,19.6483870967742,18.6
58,9731,C,Kosta,Kosta Koufos,Koufos,19.139436619718307,71,3900,SAC@PHO,SAC,PHO,,,,,,9731.0,Kosta Koufos,19.139436619718307,17.2
60,58083,C,Jahlil,Jahlil Okafor,Okafor,12.07142857142857,28,3900,NO@ATL,NO,ATL,GTD,Ankle,,,,58083.0,Jahlil Okafor,12.07142857142857,10.75
61,9772,PF,Ryan,Ryan Anderson,Anderson,18.124242424242425,66,3800,SAC@PHO,PHO,SAC,,,,,,9772.0,Ryan Anderson,18.124242424242425,16.25
62,63124,PG,Emmanuel,Emmanuel Mudiay,Mudiay,16.896875,64,3800,NY@WAS,NY,WAS,,,,,,63124.0,Emmanuel Mudiay,16.896875,17.450000000000003
63,80813,PG,Frank,Frank Ntilikina,Ntilikina,15.017948717948721,79,3800,NY@WAS,NY,WAS,,,,,,80813.0,Frank Ntilikina,15.017948717948721,14.95
64,9654,SG,Vince,Vince Carter,Carter,12.994827586206895,58,3800,NO@ATL,ATL,NO,,,,,,9654.0,Vince Carter,12.994827586206895,10.45
65,9473,C,Tyson,Tyson Chandler,Chandler,20.67608695652174,46,3700,SAC@PHO,PHO,SAC,,,,,,9473.0,Tyson Chandler,20.67608695652174,20.349999999999998
66,15727,SG,Ben,Ben McLemore,McLemore,13.63035714285714,56,3700,SAC@PHO,SAC,PHO,,,,,,15727.0,Ben McLemore,13.63035714285714,12.75
67,40819,PF,Jarell,Jarell Martin,Martin,16.96301369863013,73,3700,ORL@PHI,ORL,PHI,,,,,,40819.0,Jarell Martin,16.96301369863013,15.8
68,23447,PF,Richaun,Richaun Holmes,Holmes,16.16458333333333,48,3700,SAC@PHO,PHO,SAC,,,,,,23447.0,Richaun Holmes,16.16458333333333,15.55
69,14515,SG,Iman,Iman Shumpert,Shumpert,11.549999999999999,14,3700,SAC@PHO,SAC,PHO,GTD,Foot,,,,14515.0,Iman Shumpert,11.549999999999999,8.15
71,17747,SG,Ian,Ian Clark,Clark,12.724324324324323,74,3600,NO@ATL,NO,ATL,,,,,,17747.0,Ian Clark,12.724324324324323,11.399999999999999
72,9615,SG,Courtney,Courtney Lee,Lee,21.826315789473686,76,3600,NY@WAS,NY,WAS,GTD,Neck,,,,9615.0,Courtney Lee,21.826315789473686,21.65
73,9648,SF,Jeff,Jeff Green,Green,18.467948717948723,78,3600,NY@WAS,WAS,NY,,,,,,9648.0,Jeff Green,18.467948717948723,17.049999999999997
75,16081,C,Khem,Khem Birch,Birch,12.666666666666666,42,3600,ORL@PHI,ORL,PHI,,,,,,16081.0,Khem Birch,12.666666666666666,7.6
76,18393,PG,T.J.,T.J. McConnell,McConnell,18.509210526315794,76,3600,ORL@PHI,PHI,ORL,,,,,,18393.0,T.J. McConnell,18.509210526315794,16.549999999999997
77,14554,SG,E'Twaun,E'Twaun Moore,Moore,21.41585365853658,82,3600,NO@ATL,NO,ATL,,,,,,14554.0,E'Twaun Moore,21.41585365853658,20.75
79,19456,PG,Isaiah,Isaiah Canaan,Canaan,18.1,20,3500,SAC@PHO,PHO,SAC,GTD,Ankle,,,,19456.0,Isaiah Canaan,18.1,17.049999999999997
81,9483,C,Joakim,Joakim Noah,Noah,6.114285714285714,7,3500,NY@WAS,NY,WAS,,,,,,9483.0,Joakim Noah,6.114285714285714,6.2
82,23826,PF,Alex,Alex Poythress,Poythress,2.3760000000000003,25,3500,NO@ATL,ATL,NO,,,,,,23826.0,Alex Poythress,2.3760000000000003,1.2
83,16405,SG,Terrence,Terrence Ross,Ross,18.400000000000002,24,3500,ORL@PHI,ORL,PHI,,,,,,16405.0,Terrence Ross,18.400000000000002,17.9
86,66091,PF,Cheick,Cheick Diallo,Diallo,11.60576923076923,52,3500,NO@ATL,NO,ATL,,,,,,66091.0,Cheick Diallo,11.60576923076923,10.0
88,48940,SF,Wesley,Wesley Iwundu,Iwundu,9.417741935483871,62,3500,ORL@PHI,ORL,PHI,,,,,,48940.0,Wesley Iwundu,9.417741935483871,9.8
89,41269,PG,Demetrius,Demetrius Jackson,Jackson,3.3933333333333335,15,3500,ORL@PHI,PHI,ORL,,,,,,41269.0,Demetrius Jackson,3.3933333333333335,1.2
90,41272,SG,Jamel,Jamel Artis,Artis,10.44,15,3500,SAC@PHO,SAC,PHO,,,,,,41272.0,Jamel Artis,10.44,9.5
92,15417,SF,Solomon,Solomon Hill,Hill,10.016666666666666,12,3500,NO@ATL,NO,ATL,,,,,,15417.0,Solomon Hill,10.016666666666666,10.05
93,23097,SF,Tomas,Tomas Satoransky,Satoransky,18.40273972602739,73,3500,NY@WAS,WAS,NY,,,,,,23097.0,Tomas Satoransky,18.40273972602739,17.5
95,82744,SG,Shaquille,Shaquille Harrison,Harrison,16.726086956521737,23,3500,SAC@PHO,PHO,SAC,,,,,,82744.0,Shaquille Harrison,16.726086956521737,14.5
96,16188,SF,Anthony,Anthony Brown,Brown,4.5,1,3500,ORL@PHI,PHI,ORL,,,,,,16188.0,Anthony Brown,4.5,4.5
97,66109,PF,Skal,Skal Labissiere,Labissiere,18.70666666666666,60,3500,SAC@PHO,SAC,PHO,,,,,,66109.0,Skal Labissiere,18.70666666666666,18.5
98,40255,SG,Davon,Davon Reed,Reed,7.395238095238095,21,3500,SAC@PHO,PHO,SAC,,,,,,40255.0,Davon Reed,7.395238095238095,5.2
99,12354,C,Cole,Cole Aldrich,Aldrich,2.0238095238095237,21,3500,NO@ATL,ATL,NO,,,,,,12354.0,Cole Aldrich,2.0238095238095237,1.2
101,20805,SG,Troy,Troy Daniels,Daniels,12.20759493670886,79,3500,SAC@PHO,PHO,SAC,,,,,,20805.0,Troy Daniels,12.20759493670886,10.2
104,9810,PG,Jerryd,Jerryd Bayless,Bayless,13.461538461538458,39,3500,ORL@PHI,PHI,ORL,GTD,Knee,,,,9810.0,Jerryd Bayless,13.461538461538458,13.4
105,58457,SF,Devin,Devin Robinson,Robinson,11.0,1,3500,NY@WAS,WAS,NY,,,,,,58457.0,Devin Robinson,11.0,11.0
